"codigo","tipo","quantidade_teorica","participacao_percentual","quantidade_teorica_total","quantidade_teorica_acao","participacao_percentual_acao","quantidade_dias_ultima_data_referencia","data_referencia","acao"
"BEEF3","ON NM","261359935","0.068","98933369823","261359935","0.06800000369548798","10","2025-03-19","MINERVA"
"ISAE4","PN EJ N1","395801044","0.431","98933369823","395801044","0.4309999942779541","10","2025-03-19","ISA ENERGIA"
"GOAU4","PN N1","649238303","0.291","98933369823","649238303","0.29100000858306885","10","2025-03-19","GERDAU MET"
"BBSE3","ON NM","637332335","1.219","98933369823","637332335","1.218999981880188","10","2025-03-19","BBSEGURIDADE"
"UGPA3","ON NM","1090134379","0.889","98933369823","1090134379","0.8889999985694885","10","2025-03-19","ULTRAPAR"
"HAPV3","ON NM","4779395040","0.534","98933369823","4779395040","0.5339999794960022","10","2025-03-19","HAPVIDA"
"RAIL3","ON NM","1216914397","1.04","98933369823","1216914397","1.0399999618530273","10","2025-03-19","RUMO S.A."
"IGTI11","UNT N1","211783588","0.19","98933369823","211783588","0.1899999976158142","10","2025-03-19","IGUATEMI S.A"
"VAMO3","ON NM","485166826","0.094","98933369823","485166826","0.09399999678134918","10","2025-03-19","VAMOS"
"HYPE3","ON NM","370735677","0.355","98933369823","370735677","0.35499998927116394","10","2025-03-19","HYPERA"
"ENGI11","UNT N2","326175300","0.642","98933369823","326175300","0.6420000195503235","10","2025-03-19","ENERGISA"
"ALOS3","ON NM","476976044","0.442","98933369823","476976044","0.44200000166893005","10","2025-03-19","ALLOS"
"PRIO3","ON NM","779999989","1.465","98933369823","779999989","1.465000033378601","10","2025-03-19","PETRORIO"
"ENEV3","ON NM","1929556616","1.15","98933369823","1929556616","1.149999976158142","10","2025-03-19","ENEVA"
"RECV3","ON NM","275170410","0.217","98933369823","275170410","0.21699999272823334","10","2025-03-19","PETRORECSA"
"GGBR4","PN N1","1242683687","1.013","98933369823","1242683687","1.0130000114440918","10","2025-03-19","GERDAU"
"SUZB3","ON NM","630821784","1.643","98933369823","630821784","1.6430000066757202","10","2025-03-19","SUZANO S.A."
"CMIN3","ON N2","1646519336","0.487","98933369823","1646519336","0.4869999885559082","10","2025-03-19","CSNMINERACAO"
